"type","value"
strict              , "no"
digraph             , "yes"
graph_id            , "G"
start_scope         , "1"
class_id            , "graph"
start_attribute     , "["
attribute_id        , "rankdir"
attribute_value     , "LR"
end_attribute       , "]"
class_id            , "graph"
start_attribute     , "["
attribute_id        , "style"
attribute_value     , "bold"
end_attribute       , "]"
node_id             , "A"
start_attribute     , "["
attribute_id        , "color"
attribute_value     , "red"
end_attribute       , "]"
node_id             , "B"
start_attribute     , "["
attribute_id        , "color"
attribute_value     , "green"
end_attribute       , "]"
node_id             , "C"
start_attribute     , "["
attribute_id        , "color"
attribute_value     , "blue"
end_attribute       , "]"
node_id             , "D"
start_attribute     , "["
attribute_id        , "color"
attribute_value     , "magenta"
end_attribute       , "]"
node_id             , "A"
edge_id             , "->"
node_id             , "B"
edge_id             , "->"
node_id             , "C"
edge_id             , "->"
node_id             , "D"
node_id             , "A"
edge_id             , "->"
node_id             , "B"
edge_id             , "->"
node_id             , "C"
edge_id             , "->"
node_id             , "D"
end_scope           , "1"
